,R,G,B
0,146.62337662337663,182.2207792207792,197.20779220779224
1,19.82812499999997,60.140624999999986,141.671875
2,208.5371900826446,43.50413223140502,46.413223140495845
3,239.9917355371901,211.42975206611575,210.63636363636357
4,230.71910112359546,201.76404494382024,30.651685393258433
5,187.38095238095238,36.904761904761926,188.84126984126985
6,202.1338582677165,130.90551181102362,119.71653543307087
7,90.93693693693693,61.486486486486505,46.819819819819784
8,30.044444444444423,171.46666666666667,65.20000000000002
9,19.170212765957444,163.3191489361702,206.29787234042556
10,255.0,255.0,255.0
11,0.0,0.0,0.0
